G0 X0 Y0 Z0 A0 B0 C0\n,0,0,0,0,0,0
G0 X64 Y480 Z480 A-11 B-30 C0\n,4,30,30,-11,-30,0
G0 X256 Y384 Z384 A-8 B4 C0\n,16,24,24,-8,4,0
G0 X608 Y880 Z880 A-21 B7 C0\n,38,55,55,-21,7,0
G0 X576 Y944 Z944 A35 B-43 C0\n,36,59,59,35,-43,0
G0 X80 Y496 Z496 A-37 B11 C0\n,5,31,31,-37,11,0
G0 X16 Y16 Z16 A45 B26 C0\n,1,1,1,45,26,0
G0 X448 Y688 Z688 A-21 B26 C0\n,28,43,43,-21,26,0
G0 X176 Y704 Z704 A25 B13 C0\n,11,44,44,25,13,0
G0 X288 Y912 Z912 A-18 B16 C0\n,18,57,57,-18,16,0
G0 X0 Y176 Z176 A-29 B-39 C0\n,0,11,11,-29,-39,0
G0 X544 Y560 Z560 A25 B17 C0\n,34,35,35,25,17,0
G0 X400 Y480 Z480 A23 B32 C0\n,25,30,30,23,32,0
G0 X0 Y608 Z608 A8 B-45 C0\n,0,38,38,8,-45,0
G0 X640 Y1088 Z1088 A17 B-26 C0\n,40,68,68,17,-26,0
G0 X384 Y512 Z512 A13 B-26 C0\n,24,32,32,13,-26,0
G0 X640 Y1296 Z1296 A14 B-27 C0\n,40,81,81,14,-27,0
G0 X464 Y1168 Z1168 A-33 B-8 C0\n,29,73,73,-33,-8,0
G0 X288 Y288 Z288 A-20 B-24 C0\n,18,18,18,-20,-24,0
G0 X208 Y832 Z832 A24 B18 C0\n,13,52,52,24,18,0
G0 X624 Y688 Z688 A-13 B-5 C0\n,39,43,43,-13,-5,0
