X0 Y0 Z0 A0 B0 C0\n,0,0,0,0,0,0
X480 Y704 Z704 A-17 B-29 C0\n,30,44,44,-17,-29,0
X192 Y624 Z624 A-16 B-45 C0\n,12,39,39,-16,-45,0
X352 Y384 Z384 A15 B-1 C0\n,22,24,24,15,-1,0
X480 Y928 Z928 A-38 B-69 C0\n,30,58,58,-38,-69,0
X400 Y560 Z560 A-43 B-76 C0\n,25,35,35,-43,-76,0
X256 Y656 Z656 A6 B-85 C0\n,16,41,41,6,-85,0
X0 Y320 Z320 A-45 B38 C0\n,0,20,20,-45,38,0
X80 Y256 Z256 A-38 B49 C0\n,5,16,16,-38,49,0
X320 Y608 Z608 A32 B-31 C0\n,20,38,38,32,-31,0
X240 Y400 Z400 A7 B-75 C0\n,15,25,25,7,-75,0
X464 Y848 Z848 A45 B18 C0\n,29,53,53,45,18,0
X272 Y528 Z528 A-4 B25 C0\n,17,33,33,-4,25,0
X416 Y816 Z816 A12 B-81 C0\n,26,51,51,12,-81,0
X256 Y544 Z544 A-6 B-24 C0\n,16,34,34,-6,-24,0
X208 Y544 Z544 A7 B67 C0\n,13,34,34,7,67,0
X176 Y624 Z624 A14 B-11 C0\n,11,39,39,14,-11,0
X480 Y816 Z816 A-27 B-48 C0\n,30,51,51,-27,-48,0
X400 Y832 Z832 A-5 B82 C0\n,25,52,52,-5,82,0
X416 Y560 Z560 A30 B6 C0\n,26,35,35,30,6,0
X48 Y128 Z128 A-14 B-69 C0\n,3,8,8,-14,-69,0
