G0 X0 Y0 Z0 A0 B0 C0\n,0,0,0,0,0,0
G0 X528 Y736 Z736 A-20 B-22 C0\n,33,46,46,-20,-22,0
G0 X272 Y544 Z544 A31 B-3 C0\n,17,34,34,31,-3,0
G0 X304 Y320 Z320 A-10 B1 C0\n,19,20,20,-10,1,0
G0 X32 Y192 Z192 A10 B2 C0\n,2,12,12,10,2,0
G0 X224 Y224 Z224 A4 B-4 C0\n,14,14,14,4,-4,0
G0 X336 Y752 Z752 A32 B-11 C0\n,21,47,47,32,-11,0
G0 X464 Y848 Z848 A-15 B-45 C0\n,29,53,53,-15,-45,0
G0 X416 Y1120 Z1120 A-27 B34 C0\n,26,70,70,-27,34,0
G0 X176 Y832 Z832 A-21 B29 C0\n,11,52,52,-21,29,0
G0 X528 Y1040 Z1040 A33 B18 C0\n,33,65,65,33,18,0
G0 X320 Y960 Z960 A44 B-4 C0\n,20,60,60,44,-4,0
G0 X512 Y1168 Z1168 A25 B27 C0\n,32,73,73,25,27,0
G0 X432 Y592 Z592 A36 B-9 C0\n,27,37,37,36,-9,0
G0 X112 Y544 Z544 A-20 B-19 C0\n,7,34,34,-20,-19,0
G0 X192 Y512 Z512 A43 B-40 C0\n,12,32,32,43,-40,0
G0 X464 Y608 Z608 A-37 B-36 C0\n,29,38,38,-37,-36,0
G0 X192 Y256 Z256 A-20 B41 C0\n,12,16,16,-20,41,0
G0 X448 Y1072 Z1072 A16 B-28 C0\n,28,67,67,16,-28,0
G0 X48 Y576 Z576 A-6 B-5 C0\n,3,36,36,-6,-5,0
G0 X304 Y848 Z848 A40 B29 C0\n,19,53,53,40,29,0
