G0 X0 Y0 Z0 A0 B0 C0\n,0,0,0,0,0,0
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0
G0 X640 Y912 Z1504 A0 B0 C0\n,40,57,94,0,0,0
G0 X144 Y816 Z1104 A0 B0 C0\n,9,51,69,0,0,0
G0 X384 Y736 Z976 A0 B0 C0\n,24,46,61,0,0,0
G0 X464 Y672 Z1248 A0 B0 C0\n,29,42,78,0,0,0
G0 X608 Y768 Z1488 A0 B0 C0\n,38,48,93,0,0,0
G0 X384 Y448 Z448 A0 B0 C0\n,24,28,28,0,0,0
G0 X432 Y480 Z848 A0 B0 C0\n,27,30,53,0,0,0
G0 X496 Y1136 Z1296 A0 B0 C0\n,31,71,81,0,0,0
G0 X304 Y576 Z816 A0 B0 C0\n,19,36,51,0,0,0
G0 X64 Y352 Z976 A0 B0 C0\n,4,22,61,0,0,0
G0 X192 Y224 Z320 A0 B0 C0\n,12,14,20,0,0,0
G0 X432 Y496 Z704 A0 B0 C0\n,27,31,44,0,0,0
G0 X0 Y288 Z560 A0 B0 C0\n,0,18,35,0,0,0
G0 X384 Y928 Z1488 A0 B0 C0\n,24,58,93,0,0,0
G0 X400 Y864 Z960 A0 B0 C0\n,25,54,60,0,0,0
G0 X240 Y384 Z1056 A0 B0 C0\n,15,24,66,0,0,0
G0 X448 Y928 Z1280 A0 B0 C0\n,28,58,80,0,0,0
G0 X272 Y480 Z912 A0 B0 C0\n,17,30,57,0,0,0
G0 X624 Y768 Z896 A0 B0 C0\n,39,48,56,0,0,0
