G0 X0 Y0 Z0 A0 B0 C0\n,0,0,0,0,0,0
G0 X448 Y976 Z1376 A0 B0 C0\n,28,61,86,0,0,0
G0 X224 Y672 Z1152 A0 B0 C0\n,14,42,72,0,0,0
G0 X192 Y448 Z544 A0 B0 C0\n,12,28,34,0,0,0
G0 X240 Y832 Z1472 A0 B0 C0\n,15,52,92,0,0,0
G0 X80 Y368 Z608 A0 B0 C0\n,5,23,38,0,0,0
G0 X512 Y1152 Z1328 A0 B0 C0\n,32,72,83,0,0,0
G0 X176 Y784 Z896 A0 B0 C0\n,11,49,56,0,0,0
G0 X176 Y352 Z400 A0 B0 C0\n,11,22,25,0,0,0
G0 X208 Y608 Z960 A0 B0 C0\n,13,38,60,0,0,0
G0 X576 Y720 Z1216 A0 B0 C0\n,36,45,76,0,0,0
G0 X96 Y544 Z816 A0 B0 C0\n,6,34,51,0,0,0
G0 X224 Y832 Z1040 A0 B0 C0\n,14,52,65,0,0,0
G0 X544 Y736 Z784 A0 B0 C0\n,34,46,49,0,0,0
G0 X304 Y400 Z944 A0 B0 C0\n,19,25,59,0,0,0
G0 X128 Y192 Z816 A0 B0 C0\n,8,12,51,0,0,0
