G0 X0 Y0 Z0 A0 B0 C0\n,0,0,0,0,0,0
G0 X496 Y1072 Z1072 A0 B-60 C-69\n,31,67,67,0,-60,-69
G0 X496 Y1008 Z1280 A0 B61 C-33\n,31,63,80,0,61,-33
G0 X464 Y784 Z1312 A0 B-45 C90\n,29,49,82,0,-45,90
G0 X16 Y256 Z896 A0 B-42 C-64\n,1,16,56,0,-42,-64
G0 X576 Y928 Z1440 A0 B-76 C17\n,36,58,90,0,-76,17
G0 X176 Y288 Z288 A0 B-34 C-42\n,11,18,18,0,-34,-42
G0 X144 Y496 Z864 A0 B24 C-71\n,9,31,54,0,24,-71
G0 X528 Y704 Z1088 A0 B-20 C-77\n,33,44,68,0,-20,-77
G0 X208 Y560 Z1168 A0 B18 C72\n,13,35,73,0,18,72
G0 X320 Y848 Z976 A0 B65 C-16\n,20,53,61,0,65,-16
G0 X416 Y784 Z1216 A0 B36 C-65\n,26,49,76,0,36,-65
G0 X64 Y592 Z1088 A0 B78 C46\n,4,37,68,0,78,46
G0 X496 Y1136 Z1616 A0 B65 C-6\n,31,71,101,0,65,-6
G0 X160 Y240 Z752 A0 B45 C25\n,10,15,47,0,45,25
G0 X416 Y864 Z1008 A0 B-24 C33\n,26,54,63,0,-24,33
G0 X336 Y640 Z976 A0 B-9 C-32\n,21,40,61,0,-9,-32
G0 X496 Y576 Z1136 A0 B-43 C-8\n,31,36,71,0,-43,-8
G0 X576 Y944 Z1136 A0 B83 C-54\n,36,59,71,0,83,-54
G0 X576 Y1136 Z1776 A0 B5 C51\n,36,71,111,0,5,51
G0 X528 Y704 Z1136 A0 B63 C-8\n,33,44,71,0,63,-8
