"0, 0, 0, 0, 0, 0\n"
"20, 35, 35, -45, 68, 0\n"
"19, 36, 36, 28, 79, 0\n"
"20, 43, 43, 37, 76, 0\n"
"29, 57, 57, 42, -66, 0\n"
"0, 29, 29, -2, 54, 0\n"
"2, 18, 18, -35, -21, 0\n"
"19, 35, 35, -9, -16, 0\n"
"3, 12, 12, -34, -10, 0\n"
"22, 30, 30, 20, -62, 0\n"
"23, 29, 29, -21, 32, 0\n"
"0, 3, 3, -33, 44, 0\n"
"18, 36, 36, -4, -59, 0\n"
"22, 51, 51, -36, 67, 0\n"
"14, 24, 24, 33, -19, 0\n"
"8, 31, 31, -25, 6, 0\n"
"1, 25, 25, -20, -26, 0\n"
"10, 39, 39, 39, 56, 0\n"
"8, 20, 20, 3, 76, 0\n"
"30, 55, 55, -27, -2, 0\n"
"7, 33, 33, -30, 2, 0\n"
