X0 Y0 Z0 A0 B0 C0\n
X448 Y640 Z640 A-11 B-32 C0\n
X368 Y448 Z448 A11 B-26 C0\n
X352 Y736 Z736 A38 B-86 C0\n
X144 Y256 Z256 A-15 B-3 C0\n
X64 Y368 Z368 A-33 B-43 C0\n
X192 Y304 Z304 A31 B-82 C0\n
X16 Y304 Z304 A-25 B-48 C0\n
X368 Y848 Z848 A-32 B-2 C0\n
X448 Y480 Z480 A-4 B-27 C0\n
X464 Y896 Z896 A41 B-65 C0\n
X208 Y608 Z608 A-36 B-62 C0\n
X304 Y416 Z416 A33 B58 C0\n
X64 Y544 Z544 A-43 B19 C0\n
X224 Y704 Z704 A-25 B61 C0\n
X384 Y640 Z640 A-6 B-37 C0\n
X432 Y544 Z544 A45 B-45 C0\n
X208 Y256 Z256 A-44 B82 C0\n
X176 Y448 Z448 A41 B-61 C0\n
X64 Y496 Z496 A-37 B49 C0\n
X448 Y704 Z704 A-10 B-39 C0\n
